state_name,municipality_name,Computer systems design and related services,Engineering services,Management consulting services,Market research and public opinion survey services,Other scientific and technical consulting services,"Scientific research and development services in natural and exact sciences, engineering, and life sciences, provided by the private sector","Scientific research and development services in natural and exact sciences, engineering, and life sciences, provided by the public sector","Scientific research and development services in social sciences and humanities, provided by the private sector","Scientific research and development services in social sciences and humanities, provided by the public sector",Testing laboratories,total_direct,cluster,is_hotspot
HIDALGO,TEPEJI DEL RIO DE OCAMPO,0,1,0,0,0,0,0,0,0,2,3,0,False
HIDALGO,TETEPANGO,0,1,0,0,0,0,0,0,0,0,1,0,False
HIDALGO,TIZAYUCA,1,0,1,0,0,0,0,0,0,0,2,0,False
HIDALGO,TLAXCOAPAN,0,0,1,0,0,0,0,0,0,0,1,0,False
HIDALGO,TOLCAYUCA,0,0,0,0,2,0,0,0,0,0,2,0,False
HIDALGO,TULA DE ALLENDE,0,0,2,0,0,0,0,0,0,0,2,0,False
HIDALGO,TULANCINGO DE BRAVO,0,0,4,0,5,0,0,0,0,0,9,0,False
HIDALGO,ZACUALTIPAN DE ANGELES,0,0,0,0,1,0,0,0,0,0,1,0,False
JALISCO,AMECA,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,ARANDAS,1,1,0,0,0,0,0,0,0,0,2,0,False
JALISCO,ATENGO,0,0,0,0,0,0,0,0,0,1,1,0,False
JALISCO,ATENGUILLO,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,ATOTONILCO EL ALTO,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,AUTLAN DE NAVARRO,0,3,1,0,0,0,0,0,0,0,4,0,False
JALISCO,CHAPALA,0,2,0,0,0,0,0,0,0,0,2,0,False
JALISCO,CIHUATLAN,0,1,0,0,1,0,0,0,0,0,2,0,False
JALISCO,COLOTLAN,0,2,0,0,0,0,0,0,0,0,2,0,False
JALISCO,EL GRULLO,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,EL LIMON,0,0,0,0,0,0,1,0,0,0,1,0,False
JALISCO,EL SALTO,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,ETZATLAN,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,GUADALAJARA,72,41,135,18,18,9,1,3,1,19,317,1,True
JALISCO,HUEJUCAR,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,HUEJUQUILLA EL ALTO,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,JOCOTEPEC,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,LA BARCA,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,LA HUERTA,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,LAGOS DE MORENO,0,0,1,0,1,0,0,0,0,1,3,0,False
JALISCO,MAZAMITLA,0,0,0,0,1,0,0,0,0,0,1,0,False
JALISCO,OCOTLAN,1,0,1,0,3,0,0,0,0,0,5,0,False
JALISCO,PONCITLAN,0,2,0,0,0,0,0,0,0,0,2,0,False
JALISCO,PUERTO VALLARTA,4,3,14,0,0,0,0,0,0,1,22,0,False
JALISCO,SAN IGNACIO CERRO GORDO,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,SAN JUAN DE LOS LAGOS,1,1,0,0,3,0,0,0,0,0,5,0,False
JALISCO,SAN JUANITO DE ESCOBEDO,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,SAN PEDRO TLAQUEPAQUE,6,6,7,0,5,0,0,0,0,2,26,0,False
JALISCO,SAYULA,2,1,0,0,0,0,0,0,0,0,3,0,False
JALISCO,TEPATITLAN DE MORELOS,2,4,0,0,4,0,0,0,0,0,10,0,False
JALISCO,TEQUILA,1,1,0,0,0,0,0,0,0,0,2,0,False
JALISCO,TEUCHITLAN,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,TLAJOMULCO DE ZUNIGA,0,2,3,0,1,0,0,0,0,0,6,0,False
JALISCO,TONALA,1,0,1,0,2,0,0,0,0,6,10,0,False
JALISCO,TUXPAN,0,0,1,0,1,0,0,0,0,0,2,0,False
JALISCO,UNION DE TULA,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,VILLA CORONA,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,ZAPOPAN,58,18,54,3,11,6,0,0,0,11,161,1,True
JALISCO,ZAPOTILTIC,0,0,0,0,0,1,0,0,0,0,1,0,False
JALISCO,ZAPOTLAN EL GRANDE,1,1,1,0,2,0,0,0,0,0,5,0,False
JALISCO,ZAPOTLANEJO,4,0,0,0,0,0,0,0,0,0,4,0,False
MEXICO                      ,ACAMBAY DE RUIZ CASTANEDA,0,0,0,0,2,0,0,0,0,0,2,0,False
MEXICO                      ,ACOLMAN,0,0,0,0,2,0,0,0,0,0,2,0,False
MEXICO                      ,ALMOLOYA DE JUAREZ,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,APAXCO,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,ATIZAPAN DE ZARAGOZA,1,6,6,0,2,0,0,0,0,2,17,0,False
MEXICO                      ,ATLACOMULCO,0,0,2,0,0,0,0,0,0,1,3,0,False
MEXICO                      ,CHAPULTEPEC,0,0,0,0,0,1,0,0,0,0,1,0,False
MEXICO                      ,CHICOLOAPAN,0,0,1,0,1,0,0,0,0,0,2,0,False
MEXICO                      ,COACALCO DE BERRIOZABAL,0,1,1,0,2,0,0,0,0,0,4,0,False
MEXICO                      ,COYOTEPEC,0,0,0,0,1,0,0,0,0,0,1,0,False
MEXICO                      ,CUAUTITLAN,1,1,1,0,1,0,0,0,0,0,4,0,False
MEXICO                      ,CUAUTITLAN IZCALLI,8,4,5,1,2,1,0,0,0,1,22,0,False
MEXICO                      ,ECATEPEC DE MORELOS,4,5,9,0,1,0,0,0,0,3,22,0,False
MEXICO                      ,HUEYPOXTLA,2,0,0,0,0,0,0,0,0,0,2,0,False
MEXICO                      ,HUIXQUILUCAN,3,2,10,0,0,0,0,0,0,0,15,0,False
MEXICO                      ,IXTAPALUCA,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,IXTAPAN DE LA SAL,1,0,0,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,IXTLAHUACA,0,0,0,0,2,0,0,0,0,0,2,0,False
MEXICO                      ,JALTENCO,0,1,0,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,JILOTEPEC,0,0,0,0,2,0,0,0,0,0,2,0,False
MEXICO                      ,JOCOTITLAN,0,1,0,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,LA PAZ,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,LERMA,0,0,1,0,0,0,1,0,0,0,2,0,False
MEXICO                      ,METEPEC,11,4,11,0,3,3,0,0,0,2,34,0,False
MEXICO                      ,NAUCALPAN DE JUAREZ,11,16,24,7,4,1,0,0,0,2,65,0,False
MEXICO                      ,NEZAHUALCOYOTL,3,3,5,0,1,0,0,0,0,0,12,0,False
MEXICO                      ,NICOLAS ROMERO,0,2,0,0,0,0,0,0,0,0,2,0,False
MEXICO                      ,OTZOLOTEPEC,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,SAN MATEO ATENCO,0,2,0,0,0,0,0,0,0,0,2,0,False
MEXICO                      ,TECAMAC,1,1,2,0,1,0,0,0,0,0,5,0,False
MEXICO                      ,TEJUPILCO,0,0,2,0,0,0,0,0,0,0,2,0,False
MEXICO                      ,TEMASCALCINGO,1,0,0,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,TENANCINGO,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,TEOTIHUACAN,0,0,1,0,0,0,0,0,2,0,3,0,False
MEXICO                      ,TEPOTZOTLAN,0,0,0,0,0,1,0,0,0,2,3,0,False
MEXICO                      ,TEQUIXQUIAC,1,0,2,0,0,0,0,0,0,0,3,0,False
MEXICO                      ,TEXCOCO,4,1,5,0,1,1,0,0,0,2,14,0,False
MEXICO                      ,TLALNEPANTLA DE BAZ,20,8,27,1,5,2,0,0,0,6,69,0,False
MEXICO                      ,TOLUCA,13,11,24,0,6,1,0,2,0,5,62,0,False
MEXICO                      ,VALLE DE BRAVO,0,0,3,0,0,0,0,0,0,0,3,0,False
MEXICO                      ,VALLE DE CHALCO SOLIDARIDAD,0,0,1,0,1,0,0,0,0,0,2,0,False
MEXICO                      ,VILLA GUERRERO,0,1,0,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,ZINACANTEPEC,0,1,0,0,0,0,0,0,0,1,2,0,False
MEXICO                      ,ZUMPANGO,0,1,1,0,0,0,0,0,0,0,2,0,False
MICHOACAN DE OCAMPO,APATZINGAN,1,1,0,0,0,0,0,0,0,0,2,0,False
MICHOACAN DE OCAMPO,ARIO,0,0,1,0,0,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,BRISENAS,0,0,1,0,1,0,0,0,0,0,2,0,False
MICHOACAN DE OCAMPO,CHILCHOTA,0,0,0,0,0,1,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,ERONGARICUARO,0,0,0,0,1,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,HIDALGO,1,0,1,0,3,0,0,0,0,0,5,0,False
MICHOACAN DE OCAMPO,HUANDACAREO,0,0,0,0,1,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,HUETAMO,0,1,0,0,0,0,0,2,0,0,3,0,False
MICHOACAN DE OCAMPO,JACONA,0,0,0,0,0,0,0,0,0,2,2,0,False
MICHOACAN DE OCAMPO,JIQUILPAN,0,1,0,0,0,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,JOSE SIXTO VERDUZCO,0,0,1,0,0,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,LA PIEDAD,1,3,3,0,0,1,0,0,0,0,8,0,False
MICHOACAN DE OCAMPO,LAZARO CARDENAS,2,0,1,0,1,0,0,0,0,2,6,0,False
MICHOACAN DE OCAMPO,LOS REYES,1,1,1,0,0,0,0,0,0,0,3,0,False
MICHOACAN DE OCAMPO,MARCOS CASTELLANOS,1,0,0,0,0,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,MORELIA,9,16,18,2,7,1,3,0,0,3,59,0,False
MICHOACAN DE OCAMPO,PATZCUARO,0,0,0,0,1,1,0,0,0,0,2,0,False
MICHOACAN DE OCAMPO,PURUANDIRO,0,1,0,0,0,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,QUIROGA,0,1,0,0,2,0,0,0,0,0,3,0,False
MICHOACAN DE OCAMPO,SAHUAYO,5,0,1,0,0,0,0,0,0,0,6,0,False
MICHOACAN DE OCAMPO,TANGANCICUARO,0,0,0,0,1,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,TANHUATO,0,2,0,0,0,0,0,0,0,0,2,0,False
MICHOACAN DE OCAMPO,TARIMBARO,0,0,0,0,0,0,0,0,0,1,1,0,False
MICHOACAN DE OCAMPO,TEPALCATEPEC,0,0,1,0,0,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,TINGAMBATO,0,0,0,0,1,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,TUZANTLA,0,1,0,0,0,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,URUAPAN,3,3,7,0,10,0,0,1,0,5,29,0,False
MICHOACAN DE OCAMPO,ZACAPU,0,1,1,0,0,0,0,0,0,0,2,0,False
MICHOACAN DE OCAMPO,ZAMORA,6,9,5,1,3,0,0,0,0,3,27,0,False
MICHOACAN DE OCAMPO,ZINAPECUARO,0,0,1,0,0,0,0,0,0,0,1,0,False
MICHOACAN DE OCAMPO,ZITACUARO,0,0,2,0,0,0,0,0,0,0,2,0,False
MORELOS,CUAUTLA,1,0,7,0,2,0,0,0,0,2,12,0,False
MORELOS,CUERNAVACA,9,10,23,1,8,1,6,0,0,2,60,0,False
MORELOS,EMILIANO ZAPATA,0,0,2,0,0,0,0,0,0,0,2,0,False
MORELOS,JIUTEPEC,4,0,4,0,0,0,0,0,0,2,10,0,False
MORELOS,JONACATEPEC,0,0,0,0,2,0,0,0,0,0,2,0,False
MORELOS,PUENTE DE IXTLA,0,0,2,0,0,0,0,0,0,0,2,0,False
MORELOS,TEPOZTLAN,2,0,0,0,0,0,0,0,0,0,2,0,False
MORELOS,TLALTIZAPAN DE ZAPATA,0,0,1,0,0,0,1,0,0,0,2,0,False
MORELOS,TLAYACAPAN,0,1,0,0,0,0,0,0,0,0,1,0,False
MORELOS,XOCHITEPEC,0,0,0,0,0,0,1,0,0,1,2,0,False
MORELOS,YAUTEPEC,0,1,3,0,0,0,0,0,0,0,4,0,False
MORELOS,ZACATEPEC,0,0,1,0,0,0,0,0,0,0,1,0,False
NAYARIT,BAHIA DE BANDERAS,0,0,2,0,0,2,0,0,0,0,4,0,False
NAYARIT,COMPOSTELA,0,0,0,0,0,0,0,0,0,1,1,0,False
NAYARIT,IXTLAN DEL RIO,0,1,0,0,0,0,0,0,0,0,1,0,False
NAYARIT,JALA,1,0,0,0,0,0,0,0,0,0,1,0,False
NAYARIT,SANTIAGO IXCUINTLA,0,0,0,0,0,0,0,0,0,3,3,0,False
NAYARIT,TEPIC,3,5,10,0,9,0,0,1,0,4,32,0,False
NAYARIT,TUXPAN,0,0,1,0,0,0,0,0,0,0,1,0,False
NAYARIT,XALISCO,0,1,0,0,0,0,0,0,0,0,1,0,False
NUEVO LEON   ,APODACA,9,2,12,1,1,2,3,0,0,5,35,0,False
NUEVO LEON   ,CIENEGA DE FLORES,0,0,1,0,0,0,0,0,0,0,1,0,False
NUEVO LEON   ,GARCIA,0,3,0,0,1,0,0,0,0,1,5,0,False
NUEVO LEON   ,GENERAL BRAVO,0,0,0,0,0,2,0,0,0,0,2,0,False
NUEVO LEON   ,GENERAL ESCOBEDO,0,4,1,0,2,0,0,0,0,3,10,0,False
NUEVO LEON   ,GUADALUPE,15,3,13,0,5,1,0,0,0,1,38,0,False
NUEVO LEON   ,JUAREZ,0,0,1,0,0,0,0,0,0,0,1,0,False
NUEVO LEON   ,MONTERREY,105,53,141,9,26,4,0,1,1,19,359,1,True
NUEVO LEON   ,PESQUERIA,0,0,2,0,0,0,0,0,0,0,2,0,False
NUEVO LEON   ,SABINAS HIDALGO,0,0,1,0,0,0,0,0,0,0,1,0,False
NUEVO LEON   ,SAN NICOLAS DE LOS GARZA,18,11,4,0,4,0,0,0,0,9,46,0,False
NUEVO LEON   ,SAN PEDRO GARZA GARCIA,42,15,97,2,14,3,0,0,0,4,177,1,True
NUEVO LEON   ,SANTA CATARINA,4,3,3,0,0,1,0,0,0,3,14,0,False
OAXACA,ASUNCION NOCHIXTLAN,0,1,0,0,0,0,0,0,0,0,1,0,False
OAXACA,CAPULALPAM DE MENDEZ,0,0,0,0,0,1,0,0,0,0,1,0,False
OAXACA,CIENEGA DE ZIMATLAN,0,1,0,0,0,0,0,0,0,0,1,0,False
OAXACA,EL BARRIO DE LA SOLEDAD,0,0,1,0,0,0,0,0,0,0,1,0,False
OAXACA,HEROICA CIUDAD DE EJUTLA DE CRESPO,0,1,1,0,0,0,0,0,0,0,2,0,False
OAXACA,HEROICA CIUDAD DE HUAJUAPAN DE LEON,2,6,7,0,2,0,0,0,0,0,17,0,False
OAXACA,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,1,0,0,0,0,0,0,0,0,0,1,0,False
OAXACA,HEROICA CIUDAD DE TLAXIACO,0,3,1,0,1,0,0,0,0,0,5,0,False
